JCKBH,FAH,XWH,JKD,CDZ,KSSJ,JSSJ
4006,1,2,南,直,1900-01-01 17:37:38,1900-01-01 17:38:11
4006,1,2,南,直,1900-01-01 17:39:05,1900-01-01 17:39:38
4006,1,2,南,直,1900-01-01 17:40:32,1900-01-01 17:41:05
4006,1,2,南,直,1900-01-01 17:41:59,1900-01-01 17:42:32
4006,1,2,南,直,1900-01-01 17:43:26,1900-01-01 17:43:59
4006,1,2,南,直,1900-01-01 17:44:53,1900-01-01 17:45:26
4006,1,2,南,直,1900-01-01 17:46:20,1900-01-01 17:46:53
4006,1,2,南,直,1900-01-01 17:47:47,1900-01-01 17:48:20
4006,1,2,南,直,1900-01-01 17:49:14,1900-01-01 17:49:47
4006,1,2,南,直,1900-01-01 17:50:41,1900-01-01 17:51:14
4006,1,2,南,直,1900-01-01 17:52:08,1900-01-01 17:52:41
4006,1,2,南,直,1900-01-01 17:53:35,1900-01-01 17:54:08
4006,1,2,南,直,1900-01-01 17:55:02,1900-01-01 17:55:35
4006,1,2,南,直,1900-01-01 17:56:29,1900-01-01 17:57:02
4006,1,2,南,直,1900-01-01 17:57:56,1900-01-01 17:58:29
4006,1,2,南,直,1900-01-01 17:59:23,1900-01-01 17:59:56
4006,1,2,南,直,1900-01-01 18:00:50,1900-01-01 18:01:23
4006,1,3,西,左,1900-01-01 16:59:56,1900-01-01 17:00:29
4006,1,3,西,左,1900-01-01 17:01:56,1900-01-01 17:02:29
4006,1,3,西,左,1900-01-01 17:03:23,1900-01-01 17:03:56
4006,1,3,西,左,1900-01-01 17:04:50,1900-01-01 17:05:23
4006,1,3,西,左,1900-01-01 17:06:17,1900-01-01 17:06:50
4006,1,3,西,左,1900-01-01 17:07:44,1900-01-01 17:08:17
4006,1,3,西,左,1900-01-01 17:09:11,1900-01-01 17:09:44
4006,1,3,西,左,1900-01-01 17:10:38,1900-01-01 17:11:11
4006,1,3,西,左,1900-01-01 17:12:05,1900-01-01 17:12:38
4006,1,3,西,左,1900-01-01 17:13:32,1900-01-01 17:14:05
4006,1,3,西,左,1900-01-01 17:14:59,1900-01-01 17:15:32
4006,1,3,西,左,1900-01-01 17:16:26,1900-01-01 17:16:59
4006,1,3,西,左,1900-01-01 17:17:53,1900-01-01 17:18:26
4006,1,3,西,左,1900-01-01 17:19:20,1900-01-01 17:19:53
4006,1,3,西,左,1900-01-01 17:20:47,1900-01-01 17:21:20
4006,1,3,西,左,1900-01-01 17:22:14,1900-01-01 17:22:47
4006,1,3,西,左,1900-01-01 17:23:41,1900-01-01 17:24:14
4006,1,3,西,左,1900-01-01 17:25:08,1900-01-01 17:25:41
4006,1,3,西,左,1900-01-01 17:26:35,1900-01-01 17:27:08
4006,1,3,西,左,1900-01-01 17:28:02,1900-01-01 17:28:35
4006,1,3,西,左,1900-01-01 17:29:29,1900-01-01 17:30:02
4006,1,3,西,左,1900-01-01 17:30:56,1900-01-01 17:31:29
4006,1,3,西,左,1900-01-01 17:32:23,1900-01-01 17:32:56
4006,1,3,西,左,1900-01-01 17:33:50,1900-01-01 17:34:23
4006,1,3,西,左,1900-01-01 17:35:17,1900-01-01 17:35:50
4006,1,3,西,左,1900-01-01 17:36:44,1900-01-01 17:37:17
4006,1,3,西,左,1900-01-01 17:38:11,1900-01-01 17:38:44
4006,1,3,西,左,1900-01-01 17:39:38,1900-01-01 17:40:11
4006,1,3,西,左,1900-01-01 17:41:05,1900-01-01 17:41:38
4006,1,3,西,左,1900-01-01 17:42:32,1900-01-01 17:43:05
4006,1,3,西,左,1900-01-01 17:43:59,1900-01-01 17:44:32
4006,1,3,西,左,1900-01-01 17:45:26,1900-01-01 17:45:59
4006,1,3,西,左,1900-01-01 17:46:53,1900-01-01 17:47:26
4006,1,3,西,左,1900-01-01 17:48:20,1900-01-01 17:48:53
4006,1,3,西,左,1900-01-01 17:49:47,1900-01-01 17:50:20
4006,1,3,西,左,1900-01-01 17:51:14,1900-01-01 17:51:47
4006,1,3,西,左,1900-01-01 17:52:41,1900-01-01 17:53:14
4006,1,3,西,左,1900-01-01 17:54:08,1900-01-01 17:54:41
4006,1,3,西,左,1900-01-01 17:55:35,1900-01-01 17:56:08
4006,1,3,西,左,1900-01-01 17:57:02,1900-01-01 17:57:35
4006,1,3,西,左,1900-01-01 17:58:29,1900-01-01 17:59:02
4006,1,3,西,左,1900-01-01 17:59:56,1900-01-01 18:00:29
4006,1,4,西,直,1900-01-01 17:00:29,1900-01-01 17:01:02
4006,1,4,西,直,1900-01-01 17:02:29,1900-01-01 17:03:02
4006,1,4,西,直,1900-01-01 17:03:56,1900-01-01 17:04:29
4006,1,4,西,直,1900-01-01 17:05:23,1900-01-01 17:05:56
4006,1,4,西,直,1900-01-01 17:06:50,1900-01-01 17:07:23
4006,1,4,西,直,1900-01-01 17:08:17,1900-01-01 17:08:50
4006,1,4,西,直,1900-01-01 17:09:44,1900-01-01 17:10:17
4006,1,4,西,直,1900-01-01 17:11:11,1900-01-01 17:11:44
4006,1,4,西,直,1900-01-01 17:12:38,1900-01-01 17:13:11
4006,1,4,西,直,1900-01-01 17:14:05,1900-01-01 17:14:38
4006,1,4,西,直,1900-01-01 17:15:32,1900-01-01 17:16:05
4006,1,4,西,直,1900-01-01 17:16:59,1900-01-01 17:17:32
4006,1,4,西,直,1900-01-01 17:18:26,1900-01-01 17:18:59
4006,1,4,西,直,1900-01-01 17:19:53,1900-01-01 17:20:26
4006,1,4,西,直,1900-01-01 17:21:20,1900-01-01 17:21:53
4006,1,4,西,直,1900-01-01 17:22:47,1900-01-01 17:23:20
4006,1,4,西,直,1900-01-01 17:24:14,1900-01-01 17:24:47
4006,1,4,西,直,1900-01-01 17:25:41,1900-01-01 17:26:14
4006,1,4,西,直,1900-01-01 17:27:08,1900-01-01 17:27:41
4006,1,4,西,直,1900-01-01 17:28:35,1900-01-01 17:29:08
4006,1,4,西,直,1900-01-01 17:30:02,1900-01-01 17:30:35
4006,1,4,西,直,1900-01-01 17:31:29,1900-01-01 17:32:02
4006,1,4,西,直,1900-01-01 17:32:56,1900-01-01 17:33:29
4006,1,4,西,直,1900-01-01 17:34:23,1900-01-01 17:34:56
4006,1,4,西,直,1900-01-01 17:35:50,1900-01-01 17:36:23
4006,1,4,西,直,1900-01-01 17:37:17,1900-01-01 17:37:50
4006,1,4,西,直,1900-01-01 17:38:44,1900-01-01 17:39:17
4006,1,4,西,直,1900-01-01 17:40:11,1900-01-01 17:40:44
4006,1,4,西,直,1900-01-01 17:41:38,1900-01-01 17:42:11
4006,1,4,西,直,1900-01-01 17:43:05,1900-01-01 17:43:38
4006,1,4,西,直,1900-01-01 17:44:32,1900-01-01 17:45:05
4006,1,4,西,直,1900-01-01 17:45:59,1900-01-01 17:46:32
4006,1,4,西,直,1900-01-01 17:47:26,1900-01-01 17:47:59
4006,1,4,西,直,1900-01-01 17:48:53,1900-01-01 17:49:26
4006,1,4,西,直,1900-01-01 17:50:20,1900-01-01 17:50:53
4006,1,4,西,直,1900-01-01 17:51:47,1900-01-01 17:52:20
4006,1,4,西,直,1900-01-01 17:53:14,1900-01-01 17:53:47
4006,1,4,西,直,1900-01-01 17:54:41,1900-01-01 17:55:14
4006,1,4,西,直,1900-01-01 17:56:08,1900-01-01 17:56:41
4006,1,4,西,直,1900-01-01 17:57:35,1900-01-01 17:58:08
4006,1,4,西,直,1900-01-01 17:59:02,1900-01-01 17:59:35
4006,1,4,西,直,1900-01-01 18:00:29,1900-01-01 18:01:02
4006,1,1,南,左,1900-01-01 17:00:50,1900-01-01 17:01:23
4006,1,1,南,左,1900-01-01 17:02:17,1900-01-01 17:02:50
4006,1,1,南,左,1900-01-01 17:03:44,1900-01-01 17:04:17
4006,1,1,南,左,1900-01-01 17:05:11,1900-01-01 17:05:44
4006,1,1,南,左,1900-01-01 17:06:38,1900-01-01 17:07:11
4006,1,1,南,左,1900-01-01 17:08:05,1900-01-01 17:08:38
4006,1,1,南,左,1900-01-01 17:09:32,1900-01-01 17:10:05
4006,1,1,南,左,1900-01-01 17:10:59,1900-01-01 17:11:32
4006,1,1,南,左,1900-01-01 17:12:26,1900-01-01 17:12:59
4006,1,1,南,左,1900-01-01 17:13:53,1900-01-01 17:14:26
4006,1,1,南,左,1900-01-01 17:15:20,1900-01-01 17:15:53
4006,1,1,南,左,1900-01-01 17:16:47,1900-01-01 17:17:20
4006,1,1,南,左,1900-01-01 17:18:14,1900-01-01 17:18:47
4006,1,1,南,左,1900-01-01 17:19:41,1900-01-01 17:20:14
4006,1,1,南,左,1900-01-01 17:21:08,1900-01-01 17:21:41
4006,1,1,南,左,1900-01-01 17:22:35,1900-01-01 17:23:08
4006,1,1,南,左,1900-01-01 17:24:02,1900-01-01 17:24:35
4006,1,1,南,左,1900-01-01 17:25:29,1900-01-01 17:26:02
4006,1,1,南,左,1900-01-01 17:26:56,1900-01-01 17:27:29
4006,1,1,南,左,1900-01-01 17:28:23,1900-01-01 17:28:56
4006,1,1,南,左,1900-01-01 17:29:50,1900-01-01 17:30:23
